Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,12012.549805,12012.549805,11813.400391,11829.400391,11829.400391,490800
2020-02-25,11877.500000,11883.049805,11779.900391,11797.900391,11797.900391,461000
2020-02-26,11738.549805,11783.250000,11639.599609,11678.500000,11678.500000,567600
2020-02-27,11661.250000,11663.849609,11536.700195,11633.299805,11633.299805,608600
2020-02-28,11382.000000,11384.799805,11175.049805,11201.750000,11201.750000,809900
2020-03-02,11387.349609,11433.000000,11036.250000,11132.750000,11132.750000,680800
2020-03-03,11217.549805,11342.250000,11152.549805,11303.299805,11303.299805,696500
2020-03-04,11351.349609,11356.599609,11082.150391,11251.000000,11251.000000,797700
2020-03-05,11306.049805,11389.500000,11244.599609,11269.000000,11269.000000,1352500
2020-03-06,10942.650391,11035.099609,10827.400391,10989.450195,10989.450195,1811000
2020-03-09,10742.049805,10751.549805,10294.450195,10451.450195,10451.450195,1565500
2020-03-11,10334.299805,10545.099609,10334.000000,10458.400391,10458.400391,1218500
2020-03-12,10039.950195,10040.750000,9508.000000,9590.150391,9590.150391,1343500
2020-03-13,9107.599609,10159.400391,8555.150391,9955.200195,9955.200195,1388000
2020-03-16,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700
2020-03-17,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600
2020-03-18,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600
2020-03-19,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700
2020-03-20,8284.450195,8883.000000,8178.200195,8745.450195,8745.450195,1071500
2020-03-23,7945.700195,8159.250000,7583.600098,7610.250000,7610.250000,653500
2020-03-24,7848.299805,8036.950195,7511.100098,7801.049805,7801.049805,738400
2020-03-25,7735.149902,8376.750000,7714.750000,8317.849609,8317.849609,736900
2020-03-26,8451.000000,8749.049805,8304.900391,8641.450195,8641.450195,865600
2020-03-27,8949.099609,9038.900391,8522.900391,8660.250000,8660.250000,801500
2020-03-30,8385.950195,8576.000000,8244.000000,8281.099609,8281.099609,593300
2020-03-31,8529.349609,8678.299805,8358.000000,8597.750000,8597.750000,712700
2020-04-01,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300
2020-04-03,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
2020-04-07,8446.299805,8819.400391,8360.950195,8792.200195,8792.200195,814200
2020-04-08,8688.900391,9131.700195,8653.900391,8748.750000,8748.750000,896500
2020-04-09,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
2020-04-13,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
2020-04-15,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100
2020-04-16,8851.250000,9053.750000,8821.900391,8992.799805,8992.799805,719400
2020-04-17,9323.450195,9324.000000,9091.349609,9266.750000,9266.750000,684200
2020-04-20,9390.200195,9390.849609,9230.799805,9261.849609,9261.849609,726400
2020-04-21,9016.950195,9044.400391,8909.400391,8981.450195,8981.450195,655100
2020-04-22,9026.750000,9209.750000,8946.250000,9187.299805,9187.299805,734400
2020-04-23,9232.349609,9343.599609,9170.150391,9313.900391,9313.900391,666700
2020-04-24,9163.900391,9296.900391,9141.299805,9154.400391,9154.400391,659400
2020-04-27,9259.700195,9377.099609,9250.349609,9282.299805,9282.299805,512800
2020-04-28,9389.799805,9404.400391,9260.000000,9380.900391,9380.900391,614500
2020-04-29,9408.599609,9599.849609,9392.349609,9553.349609,9553.349609,653000
2020-04-30,9753.500000,9889.049805,9731.500000,9859.900391,9859.900391,931200
2020-05-04,9533.500000,9533.500000,9266.950195,9293.500000,9293.500000,687500
2020-05-05,9429.400391,9450.900391,9190.750000,9205.599609,9205.599609,725200
2020-05-06,9226.799805,9346.900391,9116.500000,9270.900391,9270.900391,722200
2020-05-07,9234.049805,9277.849609,9175.900391,9199.049805,9199.049805,708700
2020-05-08,9376.950195,9382.650391,9238.200195,9251.500000,9251.500000,609100
2020-05-11,9348.150391,9439.900391,9219.950195,9239.200195,9239.200195,704600
2020-05-12,9168.849609,9240.849609,9043.950195,9196.549805,9196.549805,805500
2020-05-13,9584.200195,9584.500000,9351.099609,9383.549805,9383.549805,846400
2020-05-14,9213.950195,9281.099609,9119.750000,9142.750000,9142.750000,602600
2020-05-15,9182.400391,9182.400391,9050.000000,9136.849609,9136.849609,575900
